,Species,Strain,Day,mean
0,P. mayeri,RSO012,1,12
1,P. mayeri,RSO012,2,65
2,P. mayeri,RSO012,3,52
3,P. mayeri,RSO012,4,13
4,P. mayeri,RSO012,5,13
5,P. mayeri,RSO015,1,14
6,P. mayeri,RSO015,2,71
7,P. mayeri,RSO015,3,58
8,P. mayeri,RSO015,4,22
9,P. mayeri,RSO015,5,22
10,P. mayeri,RSO024,1,11
11,P. mayeri,RSO024,2,63
12,P. mayeri,RSO024,3,63
13,P. mayeri,RSO024,4,15
14,P. mayeri,RSO024,5,15
15,P. pacificus,RSO011,1,10
16,P. pacificus,RSO011,2,35
17,P. pacificus,RSO011,3,25
18,P. pacificus,RSO011,4,20
19,P. pacificus,RSO011,5,12
20,P. pacificus,RSO014,1,13
21,P. pacificus,RSO014,2,37
22,P. pacificus,RSO014,3,36
23,P. pacificus,RSO014,4,35
24,P. pacificus,RSO014,5,13
25,P. pacificus,RSO023,1,15
26,P. pacificus,RSO023,2,36
27,P. pacificus,RSO023,3,33
28,P. pacificus,RSO023,4,26
29,P. pacificus,RSO023,5,12
